[INFO] [1776691607.771806069] [tag_localization]: tag_localization started
[INFO] [1776691607.772639344] [tag_localization]: detections_topic=/aruco/detections_json
[INFO] [1776692474.129635401] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692474.610491256] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692474.978988505] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692475.340508790] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692475.648976000] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692476.500266506] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692477.491628626] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692477.916723137] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692478.315170530] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692478.772834604] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692479.766728054] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.441, y=1.130, yaw=-118.0 deg
[INFO] [1776692480.245347202] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692480.903421028] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692481.469005789] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692481.768923444] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692482.750935648] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692483.093630477] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692483.857597789] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692484.533465577] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692484.984252330] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692485.923336941] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692486.272281065] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692487.050384995] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692487.679263545] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692488.101944529] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692488.580936368] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692488.908945520] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692489.562867933] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692491.389698310] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692491.862352001] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692492.564006232] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692492.895276202] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692493.302183667] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692493.700474176] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692494.295192110] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692494.801322384] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692495.108490069] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692495.551081451] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692496.053925661] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692497.172825127] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692497.498538111] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692498.004770025] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.129, yaw=-118.5 deg
[INFO] [1776692498.756842962] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692499.317576509] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692499.997345449] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692500.859905885] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692501.411687153] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.440, y=1.125, yaw=-117.8 deg
[INFO] [1776692501.777897801] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692502.244068459] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692503.332426429] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692503.746697814] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692504.324575703] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692505.169653323] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692506.428405197] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692506.792327799] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692507.359144852] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692508.127876493] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692509.502271758] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692509.931493608] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692510.348640953] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.445, y=1.128, yaw=-118.4 deg
[INFO] [1776692513.059755279] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.2 deg
[INFO] [1776692513.611972032] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692514.264220396] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692514.775780328] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692515.874295351] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692516.511699163] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692517.066286669] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692517.984807824] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692518.301603933] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692518.717786196] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692519.112359722] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
[INFO] [1776692519.656541164] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.127, yaw=-118.1 deg
